created_at,entry_id,Temperature,Humidity
2021-11-09 17:22:45 UTC,13598,24.0,58.0
2021-11-09 17:23:01 UTC,13599,24.0,58.0
2021-11-09 17:23:18 UTC,13600,24.0,58.0
2021-11-09 17:23:34 UTC,13601,24.0,58.0
2021-11-09 17:24:01 UTC,13602,24.0,58.0
2021-11-09 17:24:17 UTC,13603,24.0,58.0
2021-11-09 17:24:33 UTC,13604,24.0,58.0
2021-11-09 17:24:55 UTC,13605,24.0,58.0
2021-11-09 17:25:11 UTC,13606,24.0,58.0
2021-11-09 17:25:28 UTC,13607,24.0,58.0
2021-11-09 17:25:47 UTC,13608,24.0,58.0
2021-11-09 17:26:03 UTC,13609,24.0,58.0
2021-11-09 17:26:22 UTC,13610,24.0,58.0
2021-11-09 17:26:39 UTC,13611,24.0,58.0
2021-11-09 17:26:55 UTC,13612,24.0,58.0
2021-11-09 17:27:14 UTC,13613,24.0,58.0
2021-11-09 17:27:31 UTC,13614,24.0,58.0
2021-11-09 17:27:55 UTC,13615,24.0,58.0
2021-11-09 17:28:14 UTC,13616,24.0,58.0
2021-11-09 17:28:35 UTC,13617,24.0,58.0
2021-11-09 17:28:52 UTC,13618,24.0,58.0
2021-11-09 17:29:08 UTC,13619,24.0,58.0
2021-11-09 17:29:25 UTC,13620,24.0,58.0
2021-11-09 17:29:46 UTC,13621,24.0,58.0
2021-11-09 17:30:02 UTC,13622,24.0,58.0
2021-11-09 17:30:26 UTC,13623,24.0,58.0
2021-11-09 17:30:45 UTC,13624,24.0,58.0
2021-11-09 17:31:05 UTC,13625,24.0,58.0
2021-11-09 17:31:22 UTC,13626,24.0,58.0
2021-11-09 17:31:38 UTC,13627,24.0,58.0
2021-11-09 17:31:54 UTC,13628,24.0,58.0
2021-11-09 17:32:11 UTC,13629,24.0,58.0
2021-11-09 17:32:30 UTC,13630,24.0,58.0
2021-11-09 17:32:46 UTC,13631,24.0,58.0
2021-11-09 17:33:05 UTC,13632,24.0,58.0
